,Unnamed: 0,label,start,end,talk_time_sec
0,1,A,0.44384375,0.91465625,0.47081249999999997
1,2,B,0.91465625,4.757093749999999,3.842437499999999
2,3,A,7.21071875,7.62921875,0.41849999999999987
3,4,B,8.754781249999999,60.79053125,52.03575
4,5,A,61.01834375,120.81153125,59.7931875
