,label,start,end
0,A,0.44384375,0.91465625
1,B,0.91465625,4.757093749999999
2,A,7.21071875,7.62921875
3,B,8.754781249999999,17.325593749999996
4,B,17.61415625,19.48053125
5,B,19.742093750000002,23.442781249999996
6,B,23.719531250000003,25.99428125
7,B,26.247406249999997,26.73171875
8,B,27.182281250000003,27.825218749999998
9,B,28.12559375,32.17390625
10,B,32.41521875,33.66228125
11,B,34.16009375,37.703843750000004
12,B,38.17971875,43.00596875
13,B,43.196656250000004,46.07046875
14,B,46.55815625,47.08465625
15,B,47.39515625,49.36446875
16,B,49.52984375,51.36753125
17,B,51.82821875,56.40303125
18,B,56.70678125,58.22384375
19,B,58.84484375,59.90965625
20,B,60.19821875,60.79053125
21,A,61.01834375,66.74740625000001
22,A,67.21484375,74.66346874999999
23,A,75.08028125000001,80.46340624999999
24,A,80.77896874999999,82.46646874999999
25,A,82.80059374999999,88.59040625
26,A,88.92453125,89.27046874999999
27,A,89.44934375,90.33865625000001
28,A,90.63903124999999,95.41296875
29,A,95.72346875,98.61584375000001
30,A,98.82003125,102.22371874999999
31,A,102.59665625,107.42628124999999
32,A,107.87684375,113.58059374999999
33,A,114.19484374999999,118.51146875
34,A,118.81015625,120.81153125
